file_name,text,class
2785692.txt,"Caribbean Fisheries Management Council U.S. government unit responsible for creating management plans for fishery resources (FMPs) in waters off Puerto Rico and the U.S. Virgin Islands, including sharing fish stocks with other Caribbean nations. ",Agriculture
2786128.txt,"Black Sigatoka Information from Wikipedia on this leaf spot disease of bananas caused by Mycosphaerella fijiensis, which can seriously reduce the crop yield. ",Agriculture
2787183.txt,"American Journal of Potato Research Official journal of the Potato Association of America, providing information on potato research. Provides information on membership, the newsletter and other publications. ",Agriculture
2784512.txt,"Dairy Cattle Publications A list of publications on dairy production, as PDF files. From Oklahoma State University. ",Agriculture
2786046.txt,"New Jersey Commercial Tree Fruit Production Guide Online edition of a 133-page manual covering production of orchard fruit crops, compiled by Dr. Robert Belding of the Rutgers Cooperative Extension. ",Agriculture
2787531.txt,"Australian Soil Resource Information System (ASRIS) Interactive soil maps and information on soil resources in Australia, from national to local (soil profile) scale. ",Agriculture
2786544.txt,"Kohl Rabi Factsheet on this crop, with market information, culture details, harvesting and post-harvest practices. ",Agriculture
2786706.txt,"International Association of Agricultural Information Specialists: African Chapter IAALD is a forum of individuals and organizations involved in creating, capturing, accessing and distributing information and knowledge concerning agriculture and rural development in Africa. ",Agriculture
2784280.txt,Keeping Chickens at Home Blog Personal journal with pictures and video showing beginners how to keep chickens at home. ,Agriculture
2785351.txt,"Fungal Diseases of Alfalfa An identification guide to the fungal diseases that may infect this crop, with many photographs, brief descriptions of the symptoms and suggested management strategies. ",Agriculture
2786458.txt,"Golf Course Superintendents Association of America Golf course management information, member areas, and a research section which covers requests for grant proposals, scientific database, and research reports on turfgrass cultivars, growing in putting greens, wildlife research, and physiology of bermudagrass, bentgrass, and ryegrass. ",Agriculture
2787456.txt,"Foliar Fertilizer Introduction to the sources of, and the uses of foliar fertilizer. ",Agriculture
2784914.txt,"Wageningen Yield Scientific publications from current and former research units in the fields of food, agrotechnology, plant and animal production systems, nature and the environment. Maintained by Wageningen UR Library, the Netherlands. ",Agriculture
2785763.txt,"Mississippi State University: College of Forest Resources Includes information about academics, faculty and staff, continuing education, extension, courses, continuing education and research. ",Agriculture
2784576.txt,"Case's Agworld Grazing groups, hay for sale, pasture for lease. Extensive list of forage and rotational grazing links. ",Agriculture
2785317.txt,"Hairy Vetch This legume is grown for soil improvement and for pasture. Information on its growth habits, environment requirement, culture, yield potential and economics. ",Agriculture
2785051.txt,North Dakota Corn Growers Association Their mission is to provide increasing opportunities for North Dakota corn growers in a global market. ,Agriculture
2786569.txt,"Cucurbits Pest Management Provides information on possible biological and chemical controls for the diseases, insects, mites, nematodes and weeds that may attack this crop. ",Agriculture
2784659.txt,"Dan and An's Worm Farm Western Canadian breeder and supplier of Belgium (European) nightcrawler worms, recommended for fish baiting and composting. ",Agriculture
2785281.txt,"Kenaf: An Emerging New Crop Industry Information on kenaf history, cultivations, resources This report describes an on-going adventure with a new crop called kenaf, Hibiscus cannabinus L, a new annual fiber crop with a range of product applications. ",Agriculture
2785835.txt,"California Oak Mortality Task Force Task force focusing on the pathogen causing Sudden Oak Death disease through research, management, education and public policy. ",Agriculture
2786498.txt,"Vegetables - New South Wales Agriculture Features pest and diseases, soil management, irrigation and growing guides. ",Agriculture
2785246.txt,"Cotton Diseases Photographs and information on boll rot, nematodes, fusarium wilt and seedling diseases. ",Agriculture
2784454.txt,"Vetech Laboratories Inc. Serves the poultry industries, and has pioneered a unique gel delivery system for vaccines. ",Agriculture
2784966.txt,"University of the District of Columbia Cooperative Extension Service Designed to provide the Metropolitan Washington Area population with a wide range of educational and training offerings, some of which are supported by grants or contracts, while others are fee based. ",Agriculture
2785876.txt,"USFS Pacific Northwest Research Station - PNW Organized into seven programs conducted at ten locations: nine laboratories in Alaska, Washington, and Oregon, and a Wood Utilization Center in Sitka, Alaska. Forestry research sites were established to evaluate and disseminate information and technology to improve management and use of natural resources. ",Agriculture
2784339.txt,"John's Beekeeping Notebook Topics include observation bee hives, beekeeping history, rearing queen bees, experiences of a beekeeper in the Fiji Islands, beekeeping in Ukraine. ",Agriculture
2784948.txt,"MSUcares: Mississippi State University Extension Service Offers a collection of research-based information about Mississippi farms, homes, and communities. ",Agriculture
2785330.txt,Preservation and Enrichment of Green Fodder Provides information on growing and preserving fresh green material for feeding cattle in Goa. ,Agriculture
2786778.txt,"S &amp; S Professional Wildlife Control Services, Inc. Canadian goose management solutions. ",Agriculture
2785138.txt,"Missouri Rice Disease Control Description, control and management of diseases, with information on seed treatment and foliar fungicides. ",Agriculture
2785225.txt,AMS@USDA - Quality Standards - Cotton U.S. bales of raw upland and pima cotton are marketed according to internationally recognized standards. ,Agriculture
2785622.txt,Southern Blight: Sclerotium rolfsii Photograph of an affected young tobacco plant and a description of the symptoms. ,Agriculture
2784203.txt,"University of Minnesota: Institute for Ag Professionals Field School for professionals in agriculture. Includes two days of hands-on learning in crop pest control and management of the state's major crops. Includes research updates and managerial training. Located in Lamberton, Minnesota. ",Agriculture
2786224.txt,"Propagating Olive Trees Description of the different ways to propagate olives, with illustrations. From 'The Olive Oil Source'. ",Agriculture
2784722.txt,"Aquaculture Innovation Network This initiative, supported by the European Commission, aims to enhance innovation and technology transfer within the European aquaculture sector. ",Agriculture
2784313.txt,VCE: Management Requirements For Waterfowl Overview of raising ducks and geese from the Virginia Cooperative Extension. ,Agriculture
2787262.txt,Soil Management Indian Agricultural Resources Portal for farmers and experts in soil management. ,Agriculture
2786408.txt,"Ohio State University PlantFacts Exhaustive search engine covering academic web sites on horticulture and gardening, including turfgrasses, perennial and annual herbaceous plants, and woody plants. Plant problems can be solved by amateurs and professionals. ",Agriculture
2787425.txt,"Biology and Fertility of Soils This Springer journal publishes original papers, reviews and short communications fundamental and applied aspects of biology (microflora and microfauna) and fertility (productivity) of soils. Features information for authors and subscribers, the table of contents and abstracts. Full text in PDF and HTML format for subscribers only. ",Agriculture
2785898.txt,"Yale Global Institute of Sustainable Forestry Conducts education and research in the management of forests, and the promotion of forestry in privately held lands. ",Agriculture
2786754.txt,Phytosanitary Alert System The North American Plant Protection Organization provides up-to-date information on pest situations of significance in North America. In English and Spanish. ,Agriculture
2785285.txt,New Uses for Kenaf Information on research into uses for the residues from this crop after the fiber has been extracted for paper manufacture. ,Agriculture
2786631.txt,"Tomato Pest Management Provides an integrated pest management program from planting through to harvesting with information on the control of many diseases, insects, mites, nematodes and weeds. ",Agriculture
2786809.txt,"CSIRO Sustainable Ecosystems: Pest Management Many foreign plants and animals have established themselves in Australia. CSIRO research aims to understand how such introduced pests as foxes, rodents and rabbits interact with the environment and how to control them. ",Agriculture
2786111.txt,Fruit Trees in our Orchard at Attiswil Description of apples and other fruit trees in an orchard in Switzerland. ,Agriculture
2786071.txt,New Plants for Florida: Blueberry Information on the achievements made by scientists at the Florida Agricultural Experiment Station resulting in the development of disease-resistant varieties and the improvement of fruit quality. ,Agriculture
2787212.txt,"National Centre for Engineering in Agriculture Details of activities and projects in engineering, resource management, irrigation. Queensland, Australia. ",Agriculture
2786123.txt,"Banana and Plantain: Musa spp. Information on these crops, their taxonomy, history, world production, botanical description, culture, harvesting and nutrition. ",Agriculture
2787106.txt,Roland Bunch Roland offers consultancies on agricultural development anywhere in the developing world. He is the author of several books and papers and is available to speak at international conferences. ,Agriculture
2785019.txt,Barley Newsletter A paper and online newsletter for informal communication between researchers on barley. ,Agriculture
2784936.txt,"Communicating for Agriculture Education Program (CAEP) Domestic and international education and exchange program, offering internship and apprenticeship opportunities throughout the world in the fields of agriculture, horticulture, enology (wine making), equine, agribusiness, citrus, apiary and turf management. ",Agriculture
2786377.txt,"The Grower Online magazine for commercial fruit and vegetable growers published 9 times a year, providing information on the the latest production and business practices. ",Agriculture
2787299.txt,"ISRIC - World Soil Information This is the World Data Center for Soils. Responsible for collecting, archiving, and distributing data and research information. ",Agriculture
2787419.txt,"Applied Soil Ecology Addresses the role of soil organisms and their interactions in relation to: agricultural productivity, nutrient cycling and other soil processes, the maintenance of soil structure and fertility, the impact of human activities and xenobiotics on soil ecosystems and bio(techno)logical control of soil-inhabiting pests, diseases and weeds. A Elsevier Science Journal. Searchable contents, free abstracts, full text for subscribers and information to authors. ",Agriculture
2786197.txt,Off-Site Resource on Nuts and Fruit Links to resources on nut tree growing and nut tree cultivars. ,Agriculture
2786515.txt,"Swiss Chard Information on growing this leafy vegetable, its market, uses, cultivation and post-harvest handling. ",Agriculture
2784494.txt,Intertribal Bison Cooperative Information about nonprofit organization formed in 1990 to coordinate and assist the tribes in returning bison to Indian Country. Includes copyrighted photos of bison. ,Agriculture
2785405.txt,"Seed-Borne Diseases of Lentil Photographs and information on ascochyta blight, anthracnose, Botrytis stem and pod rot and Sclerotinia stem and pod rot. ",Agriculture
2785822.txt,"Forest History Society Contains membership information, links to research and publications, quarterly journal, oral histories, conferences and general information about the society. ",Agriculture
2785435.txt,"INSTOY - International Soybean Program Seeks to improve human nutrition through increased use of whole soybeans. Features recipes, publications, training, and an overview of processing methods. ",Agriculture
2786379.txt,"Cinnamomum Oils Provides information on the oils extracted from the bark of trees of the genus Cinnamomum, the world supply, the harvesting, processing and the developmental potential. ",Agriculture
2786402.txt,"Paprika General information on this spice, its preparation and storage, culinary and medicinal uses, plant description and cultivation. ",Agriculture
2784319.txt,"City Farmer: Raising Quail for Food in Fredericton, New Brunswick, Canada Raising and care with a focus on urban farming issues. ",Agriculture
2784529.txt,"Temple Grandin's Web Page A variety of information on livestock behavior and welfare, from a professor of animal science at Colorado State University. ",Agriculture
2784642.txt,"Marcia's Vermiculture Composting Sales of worms, bins and other equipment for vermiculture. ",Agriculture
2786788.txt,Ant Trails: A Key to Management with Baits Ants use odor trails to guide them to food sources that scout ants have found. This article describes the positioning and use of bait stations to control these ants. ,Agriculture
2784594.txt,"Artificial Rearing of Lambs Feeds, feeding and what can go wrong when are orphaned lambs or when prolific ewes have too many lambs for the milking ability of the natural mother. ",Agriculture
2784599.txt,Whole Grain in Lamb Rations Advantages of using whole grain versus pelleted or mash feeds. ,Agriculture
2784179.txt,"Agra-net.com Online presence of Agra Informa, information specialists on soft commodities, agriculture and food policy, markets and trade. ",Agriculture
2787101.txt,David McKee: Grain Industry Consultant Provides world-wide market research and other services to companies seeking to initiate business in new markets. ,Agriculture
2785153.txt,Rye Information about the cereal form the US Agriculutral Marketing Research Center. ,Agriculture
2786848.txt,Using Beauveria bassiana for Insect Management Information on using this fungus for biological control of foliar pests. ,Agriculture
2784209.txt,Northeast Forestry University Details the primary disciplines of this institution and provides a brief description of its academic exchange program. ,Agriculture
2786744.txt,"European House Borer The Western Australian Department of Agriculture describes this insect pest and the damage it causes to treated pine structures. Includes maps of infested areas, details of control measures, news and FAQ. ",Agriculture
2785158.txt,Sweet sorghum R&amp;D at the Nimbkar Agricultural Research Institute A summary of the research on improving crop lines at NARI in India. ,Agriculture
2785139.txt,"Residiv : European Research Project Describes European research into the genetic diversity of rice resistance to blast. Information service on the project, the partners, the annual reports. ",Agriculture
2787091.txt,Living Soils Washington-based company provides organic plant nutrition advice to farmers and gardeners. Description of services and benefits obtained by clients. ,Agriculture
2784926.txt,"MooMilk Fun and educational site about cows and milk with facts, games, recipes, contests and merchandise. ",Agriculture
2784521.txt,National Sheep Industry Improvement Center An independent agency that assists the U.S. sheep and goat industries through loans and other financial assistance means. ,Agriculture
2787535.txt,"USA: NRCS Soil Survey Guides and References A collection of on-line guidebook for soil survey in the US (and elsewhere), including the ""Soil Survey Manual"". ",Agriculture
2785492.txt,National Sunflower Association : Sunflower Oil Promotional site for the oil product. Includes background and nutritional information. ,Agriculture
2784395.txt,California State Beekeepers Association Organised in 1889 to serve the beekeeping industry of California ,Agriculture
2785121.txt,"Rice Genome Research Program (RGP) Part of the Japanese MAFF Genome Research Project. It is a joint plant genome research program of the National Institute of Agrobiological Resources (NIAR) and the Society for Techno-innovation of Agriculture, Forestry and Fisheries (STAFF). ",Agriculture
2786172.txt,"European Black Currant Fact sheet with information on this fruit, its uses, culture and propagation. ",Agriculture
2786390.txt,"Condiments and Spices: Ginger and Turmeric Information on growing these crops in India, the necessary climate and soil, rotation, cultivation, varieties, harvesting and curing the crop, and the expected yield. ",Agriculture
2785878.txt,USFS - Northeastern Research Station Conducts extensive research to enhance and protect productivity on all of America's forests and rangelands with special attention to long-term resource issues of national and international scope in the northeastern United States. ,Agriculture
2785054.txt,Kansas Corn Growers Association Information resource for corn growers in Kansas and elsewhere. ,Agriculture
2785363.txt,Perennial Ryegrass Seed Production in Western Canada An examination of the suitability of perennial ryegrass for forage and seed production in Western Canada. ,Agriculture
2785210.txt,Wheat Stem Sawfly Provides answers to some of the frequently asked questions on Cephus cinctus and help in distinguishing it from other similar insects. ,Agriculture
2786610.txt,"Specialty Lettuce Information on varieties, markets, culture and harvest. ",Agriculture
2786810.txt,Goosebuster This repeller uses actual alert and alarm calls of Canada Geese in order to move them on. ,Agriculture
2785029.txt,"Fungal Diseases of Barley An identification guide to the fungal diseases that may infect this crop, with many photographs, brief descriptions of the symptoms and suggested management strategies. ",Agriculture
2786373.txt,"Growing Online magazine published by Moose River Media covering fruit, nut and vegetable production. Includes news, features and columns. ",Agriculture
2787130.txt,"BioDiagnostics, Inc. Seed testing and consulting service offering DNA testing, ELISA testing, isozyme electrophoresis, herbicide tolerance testing, standard seed testing and gas chromatography. ",Agriculture
2784378.txt,"Beekeeping Basics Learn about the historical background, equipment, defenses, colony development and honey harvesting. ",Agriculture
2785663.txt,"Seymour River Fish Hatchery and Education Centre Raising Salmon and trout for sustaining stocks in the Seymour River, British Columbia. An educational facility for teaching people the importance of fish, habitat and environment. ",Agriculture
2786725.txt,"Soil &amp; Crop Science Society of Florida Contains operations, meeting, and contact information. ",Agriculture
2787095.txt,"Farm Advisory Services Team Ltd Technical services to the grower including regular crop monitoring, pest and disease control strategies, crop management, nutritional advice, analytical services for soil leaf and fruit, crop planning and training. UK. ",Agriculture
2786061.txt,"Fruit Crops: Tropical and Sub-Tropical Fruits Information from India on the cultural requirements, varieties and harvesting of bananas, mango, citrus, grape, guava, papaya, pineapple, pomegranate, avocado, cashew, jackfruit, loquat, mangosteen and litchi. ",Agriculture
2786195.txt,"Hazelnuts: Current Production Research Information from the Oregon Hazelnut Marketing Board on their research including their hazelnut breeding program, the micro-propagation of hazelnuts, pest management strategies and foliar fertilizers. ",Agriculture
2786867.txt,"Pesticide National Synthesis Project A national assessment of pesticides in the streams, rivers and ground water of the United States. ",Agriculture
2784426.txt,"Organic Beekeepers (Yahoo) A community where beekeepers can learn Organic Beekeeping - managing bees and hives without the use of drugs, chemicals, essential oils, and acids. ",Agriculture
2787484.txt,"Soil, Water and Agricultural Testing Laboratory Self supporting lab at New Mexico State University providing chemical testing for plants and soils. ",Agriculture
2784824.txt,"WCCA 2009: World Congress on Computers in Agriculture Conference to be held in June 2009 at Reno, Nevada, US. Provides information for authors and participants and general information about the topics covered and the venue. ",Agriculture
2784194.txt,"College of Agricultural, Consumer and Environmental Science At the University of Illinois. Provides details of the graduate and undergraduate programs, the departments, academics, research and extension. ",Agriculture
2787558.txt,"National Sustainable Agriculture Coalition (NSAC) Organization set up to influence federal agriculture policy. It supports family farms, works to protect natural resources, promote healthy rural communities and provide nutritious and healthy food to consumers. ",Agriculture
2785223.txt,"Organic Cotton Site The Sustainable Cotton Project, which was founded to search for, develop and promote ways to grow clean, chemical and pesticide free cotton. ",Agriculture
2786957.txt,Midwest Aqua Care Midwest Aqua Care of Minnesota provides aquatic weed control and pond weed control products and services for lake and pond property owners. ,Agriculture
2784560.txt,"Cornell Teaching and Research Center Sheep Farm Aims to evaluate economical methods of managing a highly productive flock to provide sheep for research, teaching, and extension programs. ",Agriculture
2786735.txt,"Plant Disease Central Detailed descriptions of crop diseases commonly occurring in the western corn belt. Crops covered include corn, sorghum, wheat, soybean, dry bean and sugar beet. University of Nebraska, Lincoln. ",Agriculture
2786210.txt,"Diversiflora Dedicated to the coconut palm and those who cultivate it, with special emphasis to coconut biodiversity, based on a book by R. Bourdeix, J.L. Konan and Y.P. NÃ¢ÂÂCho depicting 34 coconut varieties from 18 different countries, each with a one-page text describing their main uses and agronomic traits. ",Agriculture
2784476.txt,Embryo Transfer Recommendations on the procedures to be used when transferring embryos to recipient cattle. ,Agriculture
2787477.txt,Guidelines for Choosing a Soil-Testing Laboratory Provides guidance for growers in evaluating a laboratory before supplying soil samples to determine concentrations of plant-available nutrients. ,Agriculture
2786879.txt,"MagNet: Cabbage Maggot Management Information on a project undertaken at the Department of Horticulture, Oregon State University, to study Delia radicum, the cabbage root fly. ",Agriculture
2786325.txt,"New Ornamentals Society Group of professional horticulturalists, taxonomists, students, and landscape designers interested in new ornamental landscape plants. Benefits of membership, samples from the plant database. ",Agriculture
2784763.txt,"Penaeus vannamei: Whiteleg Shrimp Information from the FAO on the cultivation of this shrimp, its biology, habitat, the production cycle, production systems, diseases and control measures, production statistics, markets and trade. ",Agriculture
2786547.txt,"Nematode Management in Crucifers Information on general IPM considerations, symptoms, damage, field diagnosis and sampling, general management considerations and chemical control. ",Agriculture
2785173.txt,Triticale Production information from the Alberta agriculture department. ,Agriculture
2786977.txt,"Rainwater Harvesting for Dry Land Agriculture Describes a pilot project in Syria where it was possible to identify areas suitable for water harvesting, using satellite imagery and data sets on topography, soil, vegetation, hydrology and meteorology. ",Agriculture
2786824.txt,"Arkansas Pest Management Association Industry news, information and services including calendar of events, resources, and membership database. ",Agriculture
2785581.txt,ANR-982 Guide To Commercial Sweetpotato Production In Alabama Alabama extension publication. ,Agriculture
2785464.txt,Integrated Crop Management: Soybean Aphid Various articles on these pests with plenty of information on chemical and biological control. ,Agriculture
2787062.txt,"Measure Instruments: Measurement and Control Moisture and temperature meters for grains, cereals, hay bales, feed, forage and soils including monitors to measure moisture of products in continuous processes. ",Agriculture
2787070.txt,BioHybrids Limited UK-based agricultural consultants in sustainable crop production; agricultural development; annual and perennial crops in temperate and tropical areas. ,Agriculture
2786039.txt,Penn State Fruit Research and Extension Center Includes production guides and newsletters. ,Agriculture
2786357.txt,"Rooting Data Base Online resource listing the rooting methods for hundreds of woody plant species. Searchable, alphabetically organized list. ",Agriculture
2785440.txt,"Soybean Promotion and Research Order Information about the research order covered by the Soybean Promotion, Research, and Consumer Information Act. ",Agriculture
2786714.txt,"Farmers Advancement &amp; Cultivating Effort ( FACE ) FACE Trust is a not for profit, non-governmental organization that aims to improve people's lives in Bangladesh by providing information and applying expertise to solve problems in agriculture and the environment. ",Agriculture
2786692.txt,"Agronomic Science Foundation Conducts scholarship and grant programs and issues awards intended to help further the role of the agronomic, crop, and soil sciences in global crop production, and to promote human welfare within a sustainable environment. ",Agriculture
2786770.txt,Entofilm Video documentaries on the biology and behavior of arthropod pests and natural arthropod enemies available to purchase. ,Agriculture
2785392.txt,"Cowpea Provides an overview of this crop, a production guide, information on growing cowpea and pest management advice. ",Agriculture
2786351.txt,"Managing Pests of Indoor Plantscapes Discusses the problems involved in managing pests in peopled areas, and gives details of the chemical treatments best suited to these environments. ",Agriculture
2784508.txt,"Dairy Cow Health and Metabolic Disease Relative to Nutritional Factors Information on diseases associated with energy metabolism, diseases associated with low fiber or acidosis, diseases caused by imbalance of nutrients, and other feeding management related disorders. ",Agriculture
2784511.txt,"Dairy Management Publications University of Nebraska-Lincoln publications on feeding, breeding, herd management and business management in the dairy industry. ",Agriculture
2785943.txt,"Nursery and Tree Improvement South Carolina Forestry Commission aims to provide high quality, improved seedlings for landowners in the state. ",Agriculture
2785265.txt,"Flax Council of Canada Information on crop production, industrial products, history of flax, and news. Includes a site search. ",Agriculture
2787474.txt,"Soils, Cropping Practices and Fertilizer Use Describes the fertilizer requirements of different soil types, with particular reference to Alberta. ",Agriculture
2786464.txt,British Lawnmower Museum One of the world's leading authorities on vintage lawnmowers and the largest import and export specialists in antique garden machinery. From Ransomes' horse and pony mowers to racing mowers and the world's first mower designed in 1830 by engineer Mr. Edwin Beard Budding of Stroud in Gloucester. Site has music. ,Agriculture
2785863.txt,"Forest Policy and Economics An international journal dealing with policy issues, including economics and planning, relating to the forest and forest industries sector. Subscription information and abstracts of past articles; full text by subscription. ",Agriculture
2784326.txt,"The Oklahoma State Ostrich Book Provides information on ranching ostriches, handling eggs, incubation, chicks, growing birds, disease control and other management problems. ",Agriculture
2784243.txt,"Frit's Farm - Gardening with Guineas Information on guinea fowl, raising guinea keets, incubation, housing, and a guinea fowl message board. ",Agriculture
2787045.txt,"Genetic Identification Services Developer of custom genetic markers resources, studies and research applications. California. ",Agriculture
2787631.txt,Intercropping Intercropping of cereals and grain legumes for increased production under Organic Farming conditions. ,Agriculture
2785275.txt,COREUNICA Organization working for the preservation of the genetic diversity of Cannabis plants adapted to the natural and cultural environment in which they live. Includes much information on the crop and its many uses. ,Agriculture
2784362.txt,"Andrew's Bee Blog The experiences of Andrew, a new beekeeper, starting new bee colonies. ",Agriculture
2784202.txt,"University of Hawaii College of Tropical Agriculture and Human Resources Manoa, Hawaii. ",Agriculture
2785713.txt,"Texas Forest Service Statewide leadership and professional assistance for the state's forest, tree, and related natural resources. ",Agriculture
2784221.txt,"Studswap.com Free service allowing farmers, ranchers and others to buy, sell or swap cattle, sheep, horses, pigs or other animals, including dogs and cats. ",Agriculture
2786238.txt,"Beach Plum: A New Crop For New Markets Cornell University project to aid in establishing the fruiting shrub beach plum as a commercial crop. Illustrated cultivation and disease information, opportunities for member interaction. ",Agriculture
2786483.txt,Insect Pest Management on Turfgrass This article describes the different pests that can seriously damage turf and provides details of insecticides registered for use in Florida. ,Agriculture
2787685.txt,"Organic (Ltd) A public non-profit organisation, promoting organic and sustainable agriculture in Australia, New Zealand, South Africa, Ireland and the United Kingdom. ",Agriculture
2785120.txt,Cooperative Research Centre for Sustainable Rice Production Studies and promotes sustainable growing methods in Australia. ,Agriculture
2787432.txt,"European Journal of Soil Science Publishing the findings of research, the description of new techniques, and reviews over the whole field of soil science and its applications. Table of contents, abstracts and full texts in HTML and PDF format. ",Agriculture
2787580.txt,"Center for Micro Eco-Farming Promotes earth-regenerating and socially just mini-farming, with news, articles and resources for the micro eco-farming community. ",Agriculture
2787024.txt,Rosenfeld Supply Offers a connector protector to hold a GPS antenna cable in place. ,Agriculture
2785676.txt,"The Billfish Foundation Research, education, and advocacy to return billfish populations worldwide to healthy levels of abundance. ",Agriculture
2787198.txt,"Stockman Grass Farmer Magazine, The Serves as an information network for grassland farmers sharing the latest in intensive grazing technology and pasture management. ",Agriculture
2786018.txt,"Cultivation Technology for Oyster Mushroom Information on growing various Pleurotus species, preparing the substrate, spawning, cropping, harvesting, hygiene and ventilation. ",Agriculture
2786446.txt,Gopher Lawn Care Business &amp; Marketing Forum Lawn care business online discussion community. ,Agriculture
2784364.txt,"Beekeeping and Children Information about bees and beekeeping: activities, safety, harvesting honey, and recipes. Presented by a 4-H club in California. ",Agriculture
2784192.txt,"Laboratory of General and Agricultural Hydraulics and Land Reclamation, Aristotle University of Thessaloniki, Greece Provides education and research in the fields of hydraulics, water quality, irrigation, drainage and management of water resources. ",Agriculture
2785419.txt,"Peanut Institute Features research, recipes, FAQs, and educational materials. ",Agriculture
2787111.txt,"Servi-Tech Inc. Provides crop and environmental consulting and laboratory services in the High Plains area of the USA. Includes information on agronomy research, precision agriculture and the services offered. ",Agriculture
2787429.txt,"Canadian Journal of Soil Science Publishes research on the use, management, structure and development of soils. Searchable. Abstracts available, full text for subscribers only. ",Agriculture
2785552.txt,"Potato Yellow Dwarf Virus, Nucleorhabdovirus Photograph of an affected plant and a description of the symptoms. ",Agriculture
2784468.txt,"International Textile Center: Fiber and Biopolymer Research Institute Research and development of natural fibers: wool, cotton, cashmere and mohair. Texas Tech University. ",Agriculture
2785532.txt,Washington State Potato Commission Informational site about the Washington State Potato Commission and its programs. ,Agriculture
2785211.txt,"Wheat Stem Sawfly Information on the life cycle of Cephus cinctus, its description, the damage caused by its larvae, monitoring and possible control measures. ",Agriculture
2786983.txt,"Saline Agriculture Research Centre SARC undertakes research into salt tolerant plants, especially cereals, using both conventional and modern genetic means. Includes details of research, programs, completed and current projects and training courses. Pakistan. ",Agriculture
2787414.txt,The Health of Our Soils Publication by CanSiS dealing with soil degradation in Canada. Editors are D.F. Acton and L. J. Gregorich. ,Agriculture
2787706.txt,National school and academy for viniculture and pomiculture Weinsberg A list with various publications of the German institution. ,Agriculture
