file_name,text,true_class,predicted_class
2787045.txt,"Genetic Identification Services Developer of custom genetic markers resources, studies and research applications. California. ",Agriculture,Science
2789670.txt,"Time and Date Information such as yearly and monthly calendars, counters, countdown, and the world clock which shows the current time in cities all over the world. ",Astronomy,Earth
Sciences_2877054.txt,"Life in the Model City Personal stories about urban renewal in New Haven, Connecticut in the 1950s and 1960s. ",Social,Technology
2848893.txt,"Enumath 2005 Santiago de Compostela, Spain; 18--22 July 2005. ",Math,Math
2834130.txt,The Nature Conservancy - Migratory Bird Program The mission is to protect critical habitats for birds of conservation concern throughout the Western Hemisphere. ,Environment,Environment
Sciences_2870816.txt,Introduction to Finnish by PÃÂ¤ivi Rentz. Go to the sitemap for three online Finnish lessons and information about conjugation of verbs and the 15 cases of nouns. ,Social,Biology
2856417.txt,Spacetime Geometry inside a Black Hole Text by Jim Haldenwang describing the foundations of general relativity and some basic properties of black holes. Presupposes knowledge of calculus and basic concepts of special relativity. ,Physics,Physics
2822884.txt,"CE Exchange Offers monthly newsletters listing journal publications on small molecule applications using capillary electrophoresis, and biological separations using CZE, MEKC, isotachophoresis, chip technology and 2D gels. Maintained in S. Plainfield, NJ. ",Chemistry,Chemistry
2879673.txt,"Srinivasan, Balaji Vasan Research interests in machine learning and fast algorithms. Resume, projects, publications, experience and personal information. ",Technology,Physics
and_Supplies_2840677.txt,"Thermo Scientific Provides analytical instruments, laboratory equipment, software, services, consumables and reagents. ",Instruments,Instruments
2845054.txt,Design Resources Links to resources for design theory maintained by Peter Cameron. ,Math,Math
2886179.txt,"On Mars: Exploration of the Red Planet 1958-1978 A NASA history book on the Viking and Mariner missions. Discusses the motives for these programs and the evolution of hardware. Includes information on the search for life on Mars, spacecraft assembly, landing site selection, and experiments performed on the Martian surface. ",Technology,Technology
in_Society_2857672.txt,"Wikipedia: Fingerprint Online encyclopedia article discusses fingerprints, their use in identification, potential for errors, and other issues. ",Science,Science
2855281.txt,"D-Zero Experiment Research on the fundamental nature of matter, focusing on precise studies of interactions of protons and antiprotons at the highest available energies. Located at Fermi National Accelerator Laboratory's Tevratron Collider. ",Physics,Physics
2815143.txt,"Aconitum napellus Information from Botanical.com, a modern herbal, on this poisonous plant, its description, constituents, medicinal action and uses. ",Biology,Biology
Sciences_2827444.txt,Washing Away Reprint of award winning articles with predictions of hurricane and flood dangers for New Orleans similar to what eventually happened. By Mark Schleifstein and John McQuaid of The Times-Picayune. ,Earth,Earth
2785822.txt,"Forest History Society Contains membership information, links to research and publications, quarterly journal, oral histories, conferences and general information about the society. ",Agriculture,Agriculture
2850270.txt,"The Pentomino Dictionary by Gilles Esposito-FarÃÂ¨se English words that can be written using the pentomino name letters FILNPTUVWXYZ and other related curiosities, including a homage to Georges Perec. (English/French). ",Math,Social
2833136.txt,"Environmental Engineering, Technical University of Denmark Offers batchelor and master programs in Lyngby. Describes contents, campus facilities, study system, admission requirements. ",Environment,Environment
2881229.txt,"The ABC's of Energy Education Interactive tutorial on energy production, transformation and transportation. Includes tools for students and teachers. ",Technology,Technology
2834525.txt,"The Catch Conservation Fund A non-profit organization dedicated to saving the endangered sea turtles of Costa Rica. Includes information on turtles, beach patrols, educational initiatives and how members of the public can help. ",Environment,Environment
2834306.txt,Save The Elephants Securing a future for elephants and sustaining the beauty and ecological integrity of the places where they live. ,Environment,Earth
2790913.txt,"Perseus Astronomy Simulation Software Perseus is a complete desktop planetarium. Software features 3D solar system objects and scripting function for lecturers, plus ASCOM support. Italian and English versions are available. ",Astronomy,Astronomy
2785614.txt,Plantation House Tobacco Seeds Certified virus free Virginia and Havana tobacco seed for cigarettes and cigars. UK. ,Agriculture,Agriculture
and_Supplies_2842160.txt,"Electron Microscopy SEM, TEM, SPI consumable supplies. ",Instruments,Instruments
in_Society_2857948.txt,"Skeptical Investigations Criticism of skepticism, including information about fraud in mainstream science and questioning of the methods and motives of skeptics. ",Science,Science
2845871.txt,Chaos and Fractals Applets Several java applets for use in exploring the topics of chaos and fractals. ,Math,Math
Sciences_2870612.txt,"Signing Smart Playclasses for hearing babies and toddlers, with locations throughout the northeastern United States. Also offers education for child care center staff wishing to integrate baby sign into their programs. ",Social,Social
2844062.txt,"Pointcheval, David Researcher at the CNRS. Publications, lecture notes, and contact information. ",Math,Physics
2823231.txt,"UKCP - United Kingdom Car-Parrinello Consortium Association of research groups collaborating on the first-principles computer simulation of condensed matter. Provides the CASTEP code to academics in the UK. Organization, publications, calendar, jobs, and support. ",Chemistry,Technology
2787419.txt,"Applied Soil Ecology Addresses the role of soil organisms and their interactions in relation to: agricultural productivity, nutrient cycling and other soil processes, the maintenance of soil structure and fertility, the impact of human activities and xenobiotics on soil ecosystems and bio(techno)logical control of soil-inhabiting pests, diseases and weeds. A Elsevier Science Journal. Searchable contents, free abstracts, full text for subscribers and information to authors. ",Agriculture,Agriculture
2789690.txt,PlexGlobe: International Clock and Global Kit A productivity toolkit for global users and businesses that includes world clock and calendar. ,Astronomy,Environment
2790517.txt,"Spitzer Space Telescope General information, articles, downloads, equipment information, news, and links. ",Astronomy,Astronomy
2788908.txt,"Amateur Astronomers Association of Princeton Current events, guest speakers, features and reviews, and gallery. ",Astronomy,Astronomy
and_Supplies_2841281.txt,Luzchem Research Affordable Fused Silica Cuvettes for most types of Spectroscopy. ,Instruments,Instruments
and_Supplies_2840046.txt,"Ogawa Seiki Co., Ltd. OSC is a distributor of instruments for scientific research including laboratory ware and analysis, measuring and testing instruments. ",Instruments,Instruments
in_Society_2857562.txt,"DNA Forensics Problem Set The Biology Project at the University of Arizona, Tucson, AZ. ",Science,Science
and_Supplies_2841490.txt,"Validyne Engineering Corporation Manufacturer of a broad range of data acquisition systems, signal conditioning systems, pressure transducers and transmitters. ",Instruments,Technology
2845786.txt,"ICTCM 2004 17th International Conference on Technology in Collegiate Mathematics. New Orleans, LA, USA; 28 - 31 October 2004. ",Math,Math
2808389.txt,"Cordyline Photograph and description of Cordyline australis, with cultural instructions. ",Biology,Biology
in_Society_2857949.txt,"What is pseudoscience? How it differs from science, how to spot it. Junk science, pathological science, quackery and pseudoscientific scams. ",Science,Science
2856302.txt,"The Loschmidt Echo Homepage Introduction to the Loschmidt echo, also known as fidelity. Contains animations of the time evolution of a wave packet in the Lorentz gas and in the ""smooth"" stadium billiard. ",Physics,Technology
Sciences_2827411.txt,"The 1900 Storm Remembering the Galveston Hurricane, September 8-9, 1900 in which more than 6,000 died. ",Earth,Earth
2879642.txt,"Department of Systems and Control - JoÃÂ¾ef Stefan Institute The activities of the Department of Systems and Control include analysis, control and optimization of various systems and processes. ",Technology,Math
in_Society_2857825.txt,"Conflicts Between Science and Religion Overview of several areas of controversy, primarily involving Christian beliefs and Judeo-Christian traditions, from ReligiousTolerance.org. ",Science,Science
2823527.txt,"Broddarp of Nevada Electrochemical consultants and ITExpress newsletter on the subject of power sources including Lithium batteries, portable power, and electric vehicles. ",Chemistry,Technology
and_Supplies_2842024.txt,Moyer Instruments Offers calibration and repair services for analytical and process instruments. ,Instruments,Instruments
and_Supplies_2840373.txt,AGB Scientific Solutions Services for 21 CFR part 11 issues. ,Instruments,Instruments
and_Supplies_2841221.txt,FOCUS Inc A Russian manufacturer of precision optical components including microscope objective lenses. ,Instruments,Instruments
2802537.txt,"Western Small-footed Myotis: Myotis ciliolabrum Description, distribution in Texas and behavior. ",Biology,Biology
2786100.txt,UVM Apple Orchard Extension and research for the commercial tree fruit grower in Vermont and beyond. ,Agriculture,Agriculture
and_Supplies_2840729.txt,iScience Project Science experiment ideas using HOBO Data loggers from iScienceProject.com ,Instruments,Science
in_Society_2857604.txt,"Identity Genetics, Inc. Privately owned company explaining services for paternity and forensics, with DNA testing information, sampling instructions, glossary, secure ordering from Brookings, SD. ",Science,Science
2838983.txt,IDModeling Specialized service company offering hydraulic modeling solutions for making decisions on the growth and maintenance of the aging and increasingly stressed water and wastewater infrastructure. ,Environment,Environment
Sciences_2831210.txt,"Gurney, James Official site for Dinotopia, the book series in which a peaceful prehistoric world is discovered. ",Earth,Social
2854976.txt,"Fiber Optics Information Fiber optic reference material including articles on fiber optic transmission principles, components, and transmission systems as well as a fully illustrated fiber optic glossary of terms. ",Physics,Instruments
2792061.txt,"Pride Proteomics ApS. Based on expertise since 1979, exploiting 2D-gel electrophoresis, mass spectrometry, molecular biology and bioinformatics for identifying and characterizing markers of disease, target proteins in drug screening and diagnostic tools in Odense, Denmark. ",Biology,Biology
2785604.txt,Rust on Sugarcane Photograph of lesions on the upper surface of leaves. ,Agriculture,Biology
2784443.txt,"Bee Research Institute at Dol (Czech Republic) History of the institute, with some information about services offered (especially classification of bee races), staffing, and products. Contact details. (Czech, German and English) ",Agriculture,Agriculture
Sciences_2830799.txt,CodaOctopus Ltd. Systems and software for the acquisition and storage of analog and digital data from seismic and sidescan sonar. ,Earth,Earth
2791665.txt,Astronomy On-Line Collaborative Project aimed at getting new people involved in variable star observing. ,Astronomy,Astronomy
2854941.txt,"National Centre for Laser Applications The National Centre for Laser Applications (NCLA) conducts research and development of laser materials processing. Research areas of interest include micromachining, cutting, marking, welding, and surface modification. ",Physics,Technology
2855160.txt,"Optalix Software for optical system design, thin-films and illumination. ",Physics,Physics
2852757.txt,UEF Theory Analyses of outstanding physics problems in many disciplines - with some surprising results. ,Physics,Physics
2787677.txt,"Indian Organic Certification of Agriculture Certification authority, with details of standards, downloadable forms, news. ",Agriculture,Agriculture
2789878.txt,EmapWin Windows software for generating eclipse maps for solar eclipses from 3000BC to 3000AD ,Astronomy,Astronomy
Sciences_2876556.txt,"Los Angeles Department of City Planning Responsible for the city's general plan, zoning, municipal land decisions, and environmental studies. ",Social,Environment
2789751.txt,"LSST Observatory Homepage of the Large-aperture Synoptic Survey Telescope, a proposed 8.4 m, 7 square-degree field telescope. An important goal of the project is the creation of a detailed, three-dimensional map of the universe, which should yield detailed information about the distribution of dark matter. ",Astronomy,Astronomy
2848445.txt,"Lagarias, Jeffrey C. University of Michigan. Computational Complexity Theory, Cryptography, Diophantine Approximation, Discrete and Computational Geometry, Dynamical Systems, Harmonic Analysis; Mathematical Physics, Optimization, Number Theory. Publications, courses. ",Math,Math
2843489.txt,"Matrix Multiplication An interactive micro-course for beginners, by Hans Lundmark. (Uses JavaScript.) ",Math,Physics
2835683.txt,"Veeder-Root Company Supplier of automatic tank gauging and fuel management systems and related services, including monitoring systems for underground storage tanks. ",Environment,Instruments
2834808.txt,"Mexico Conservation International provides information on the landscape, ecosystems and species. Includes information about threats to the environment and proposed solutions. ",Environment,Environment
Sciences_2831029.txt,UmeÃÂ¥ University Marine Sciences Centre ,Earth,Earth
2879392.txt,JASS Journal Journal of Applied Systems Studies - Methodologies and Applications for Systems Approaches. ,Technology,Technology
2784334.txt,Beehoo World beekeeping directory. ,Agriculture,Agriculture
2790906.txt,"AstroViewer: Quick Orientation in the Night Sky The AstroViewer planetarium applet shows a sky map for any time and any location on Earth. Individual printable sky maps (GIF, PDF) may be created. ",Astronomy,Astronomy
2856751.txt,"A Journal of Practical and Useful Vacuum Technology Excellent web-site with more than 30 free online articles with the ""How's"" and ""Whys"" to use and understand vacuum. Good for beginners and advanced users. ",Physics,Social
2822381.txt,"Duke University: Department of Chemistry Includes information on the Department, the faculty and staff, the undergraduate and graduate programs, research and outreach. ",Chemistry,Chemistry
2798699.txt,"Grapholita molesta: Oriental Fruit Moth Photographs of this moth and its caterpillar, with information on its hosts, habitat, life cycle and description. ",Biology,Biology
2789989.txt,"European Extra-Solar Planet Consortium EXPORT is a consortium of European astronomers using the telescopes on La Palma and Tenerife to study extra-solar planets, as well as the formation and evolution of protoplanetary systems. ",Astronomy,Astronomy
2787634.txt,"Organic Agriculture Information Access A collection of historic USDA publications related to organic agriculture, published before 1942. ",Agriculture,Agriculture
2837306.txt,New York Wa$teMatch Materials discarded by one business can be resources for another. New York Wa$teMatch helps firms reduce their waste disposal costs or find cheaper raw materials by matching the material by-products of one company with another that can use them. ,Environment,Technology
2823912.txt,"ChemGlobe: Dysprosium Electronic, thermal, and steric data along with an isotope table. ",Chemistry,Chemistry
Sciences_2861066.txt,Dolmens in Denmark Images of Danish dolmens. ,Social,Biology
and_Supplies_2840423.txt,"Rudolph Research Analytical A manufacturer the AUTOPOL series of automatic polarimeters, refractometers, saccharimeters and accessories for the chemical, food and pharmaceutical QC lab. ",Instruments,Instruments
2819061.txt,ACI International Official organ of the International Association of Allergology and Clinical Immunology. New issues every two months. Tables of content available to all. ,Biology,Biology
in_Society_2857790.txt,"AMS Ethical Guidelines ""To help in the preservation of that atmosphere of mutual trust and ethical behavior required for science to prosper."" From the American Mathematical Society. ",Science,Science
Sciences_2830551.txt,"Ruddick, Barry Interests cover the areas of oceanic mixing processes, internal waves and geophysical flows. ",Earth,Earth
and_Supplies_2840915.txt,"Sentran Manufactures weighing systems and components, including load cells, sensors, load pins, torque transducers, and weighing scales. ",Instruments,Instruments
2797232.txt,Kempf Database Ostracoda Indexes and bibliographies for living and fossil marine and nonmarine Ostracoda of the world. ,Biology,Earth
Sciences_2832393.txt,"Crompton, A.W. Masticatory system in recent and fossil vertebrates (Museum of Comparative Zoology, Harvard University). ",Earth,Earth
2835534.txt,"Zeropa USA Offers a ceramic EMF absorption product that is claimed to protect users from harmful electromagnetic waves produced by cell phones, TVs and PC monitors. ",Environment,Environment
2881017.txt,"DTI Energy, Inc. California corporation with the master license for exclusive worldwide rights to the Direct Methanol Fuel Cell (DMFC) technology. Contact for license to incorporate DMFC Technology into your application/s. ",Technology,Technology
2835510.txt,"VitaTech Engineering Company specializes in electromagnetic fields: surveys and measurements, exposure and risk assessments, and magnetic shielding solutions. ",Environment,Physics
and_Supplies_2840439.txt,"Panmure Instruments Ltd Resources for research, design, and manufacture of precision instruments: products include goniometers, rotary sample manipulators; ultra high vacuum work a speciality. ",Instruments,Instruments
2784599.txt,Whole Grain in Lamb Rations Advantages of using whole grain versus pelleted or mash feeds. ,Agriculture,Agriculture
Sciences_2828057.txt,East Texas Geological Society Society for the education and networking of Oil/Gas Professionals and Geologists and Geophysicists. ,Earth,Earth
2787608.txt,Training for Rural Development: Agricultural and Enterprise Skills for Women Information on an international research project to explore the type of training that can help women smallholders be more productive and adaptable. ,Agriculture,Agriculture
2789932.txt,Heavenly Mathematics: Highlights of Cultural Astronomy An interdisciplinary course on cultural astronomy. The course has a goal of imparting an understanding of basic astronomical phenomena and an appreciation of their cultural significance throughout the world. ,Astronomy,Astronomy
2823412.txt,"Erik's Chemistry A student made page with information about general chemistry, AP chemistry, organic chemistry and physical chemistry. ",Chemistry,Chemistry
2823229.txt,"ACS Division of Computers in Chemistry A unit of the American Chemical Society. Includes newsletters, programs of past and future division meetings, and information on awards presented by the division. ",Chemistry,Chemistry
and_Supplies_2841834.txt,Technical Lab Services Sales and service of reconditioned and new laboratory equipment. ,Instruments,Instruments
2824883.txt,"Diamond An essay on diamond, prepared as molecule of the month presentation. ",Chemistry,Biology
2846351.txt,"Xah's Personal Page Features an illustrated dictionary of special plane curves, a paper on wallpaper groups, mathematics image gallery and links to software packages. ",Math,Math
2843660.txt,9th Summer St. Petersburg Meeting in Mathematical Analysis 27 August to 1 September 2000. ,Math,Math
2842864.txt,North Carolina State University Department of Mathematics ,Math,Math
2887402.txt,"Bridging the Gap - Early Bridges in New Zealand 1830-1939 Review of Geoffrey Thornton's book. Includes a selection of bridge data and photographs including the Helmores Lane Bridge built in 1864, one of the oldest bridges still in use in New Zealand. ",Technology,Technology
and_Supplies_2842153.txt,"Research Laboratory Supply Inc. Supplier of a wide range of products including syringes, sterile vials, bacteriostatic water, benzyl alcohol, filtration systems, flasks, bottles and sterile wear. ",Instruments,Instruments
2789575.txt,"Ufind Optics Company, Ltd. Chinese manufacturer and exporter of binoculars, telescopes, monoculars, golfscopes and spotting scopes. ",Astronomy,Astronomy
in_Society_2857453.txt,Voice of the Shuttle (VOS) An annotated guide to online resources that respects the established humanities disciplines in their professional organization and points toward the transformation of those disciplines as they interact with the sciences and social sciences. ,Science,Earth
2824029.txt,"LANL: Helium History, sources, properties, and uses. ",Chemistry,Chemistry
in_Society_2857862.txt,"Perspectives on Science &amp; Christian Faith Journal of the American Scientific Affiliation, available online or in print. Contents listings, searchable database of full-text articles, and author instructions. ",Science,Science
in_Society_2857937.txt,"The Skeptic's Refuge Gateway to The Skeptic's Dictionary with skeptical articles on the occult, the supernatural, the paranormal and the pseudoscientific. ",Science,Science
and_Supplies_2842154.txt,"BLD Science Manufacturer of over 1000 laboratory consumables and also producer of the brand Oxford pipettes, shipping worldwide. ",Instruments,Instruments
2855463.txt,SPring-8 English Homepage SPring-8 is the world's largest third-generation synchrotron radiation facility. ,Physics,Physics
2823672.txt,"Lenntech: Americium Physical data, chemical properties, health and environmental effects. ",Chemistry,Chemistry
and_Supplies_2841330.txt,"Nanjing Shuncheng Optical Components Co Ltd Manufacturer of a range of lenses, prisms, beam splitters and optical windows. ",Instruments,Instruments
and_Supplies_2840925.txt,"Stellar Technology, Inc Designs and manufactures load cells, force sensors, pressure transducers and transmitters, and temperature sensors for a variety of applications. ",Instruments,Instruments
2785547.txt,"Fusarium Dry Rot and Seed-Piece Decay of Potato Photographs of these diseases which cause serious losses in stored tubers, the symptoms, causal organisms and management. ",Agriculture,Agriculture
2786544.txt,"Kohl Rabi Factsheet on this crop, with market information, culture details, harvesting and post-harvest practices. ",Agriculture,Agriculture
2807563.txt,Gilliesia Photograph of an unidentified species. ,Biology,Biology
2833316.txt,"Fluent, Inc. Headquartered in Lebanon, New Hampshire, USA with other offices nationwide and worldwide, this firm specializes in computational fluid dynamics (CFD) modeling. Their many services include atmospheric plume dispersion modeling. ",Environment,Physics
2790125.txt,Faulkes Telescope Educational Guide - Galaxies Some useful information about the formation of galaxies. ,Astronomy,Astronomy
and_Supplies_2840934.txt,Medical Electronics Consulting services and forms for laboratory equipment maintenance. Certified maintenance for your equipment. ,Instruments,Instruments
2886643.txt,"Imagine The Universe! Dedicated to a discussion about our Universe... This site from NASA is intended primarily for ages 14 and up. If you are interested in a lower level, more basic discussion about astronomy and space exploration, try StarChild site. ",Technology,Astronomy
2823340.txt,"Department of Theoretical Chemistry: Vrije Universiteit Amsterdam Density functional quantum chemistry, molecular response properties, and computational studies of chemisorption and catalysis. ",Chemistry,Chemistry
2790532.txt,"How Hubble Space Telescope Works Introduction, history, inside, telescope functions, spacecraft systems, and books. ",Astronomy,Astronomy
Sciences_2831339.txt,Paleontology Education Resources Links to paleontology education resources at the USGS and on the web ,Earth,Earth
2822491.txt,"Synthetic Biomolecules Offers IS/LC-MS analysis and FMOC chemistry for custom synthesis. Overview of company, mg scale manufacture, purity, prices, including fluorescent labeling and multiple antigen conjugation, at San Diego, California. ",Chemistry,Chemistry
2791065.txt,Quaoar Frequently asked questions. ,Astronomy,Math
in_Society_2857466.txt,"Hongladarom, Soraj Assistant professor of Philosophy at Chulalongkorn University, specialising in problems arising from the interplay between modern science and Thai culture. Biography and academic papers. ",Science,Science
Sciences_2827065.txt,"Vector Instruments Manufacture and sales of quality, robust, and professional meteorological instruments for scientific, industrial and wind-power applications. ",Earth,Instruments
2883810.txt,CFturbo Software for interactive design of radial and mixed-flow centrifugal pumps. ,Technology,Physics
2789956.txt,"Multiwavelength Astronomy Discusses which celestial objects appear in each part of the spectrum and shows why there is a need to send telescopes into space. Page includes photos, games, classroom activities, and related resources. ",Astronomy,Astronomy
2802048.txt,"Lontra canadensis Taxonomy, description and photograph of the river otter, its habitat and distribution, life history, community ecology and special status. ",Biology,Biology
in_Society_2857667.txt,"Digital Fingers History and articles on fingerprint identification, discussion of digital imaging and fibre optic lighting, by Esther Neate, police laboratory supervisor in the UK. ",Science,Science
Sciences_2831509.txt,Pyritized Graptolites Pyritization and deformation of graptolites by Ch.M. Witkowski. ,Earth,Earth
2822081.txt,"Riverbanks Zoo and Botanical Garden Columbia. 2000 animals in exhibits including African plains, birdhouse, reptile house and a farm. Site has general information, exhibit details, animal photos and descriptions and education programs. ",Biology,Biology
in_Society_2857677.txt,"Secureprint Inkless Fingerprinting Pads and kits, related notary supplies from El Dorado Hills, California. ",Science,Chemistry
2786197.txt,Off-Site Resource on Nuts and Fruit Links to resources on nut tree growing and nut tree cultivars. ,Agriculture,Agriculture
2816577.txt,"Carolina Silverbell: Halesia carolina Description, habitat, life history, genetics, and geographic distribution of this tree of the southern Appalachian mountains. ",Biology,Biology
and_Supplies_2840554.txt,"SKS Science Manufacturer and exporter of labware containers, closures, scales, balances and lab supplies. ",Instruments,Instruments
2822703.txt,Rapid Communications in Mass Spectrometry Journal whose aim is the early publication of original research results and ideas on all aspects of gas-phase ions and associated scientific disciplines. ,Chemistry,Technology
2785120.txt,Cooperative Research Centre for Sustainable Rice Production Studies and promotes sustainable growing methods in Australia. ,Agriculture,Agriculture
2836915.txt,"State Trust Lands: Fiduciary Duty in the Changing West Joint project of the Sonoran Institute and the Lincoln Institute of Land Policy, with philosophical roots in the 1879 book ""Progress and Poverty,"" by Henry George. ",Environment,Science
2887899.txt,"CAR (Center for Automotive Research) At Ohio State University. Major educational efforts at C.A.R. include: a Masters level graduate program in automotive systems engineering, specialized automotive course sequences offered via video, fellowship and intern programs, undergraduate research scholarships and student vehicle competition projects. ",Technology,Technology
in_Society_2858127.txt,Red State Rabble A skeptic's dispatches from the flyover zone. ,Science,Science
2810468.txt,Amsinckia sp. image ,Biology,Biology
2785042.txt,"Cooperative Federal-State Maize Breeding Project Detail of individual research programs at Iowa State University, and a collection of relevant links. ",Agriculture,Agriculture
2848818.txt,Imaginary Quadratic Fields Tables of the fields with class number at most 23. ,Math,Math
2848306.txt,"Benedetto, Robert Boston University. Number theory and dynamics. List of papers includes abstracts and dvi files, abbreviated Curriculum Vitae. ",Math,Math
2786351.txt,"Managing Pests of Indoor Plantscapes Discusses the problems involved in managing pests in peopled areas, and gives details of the chemical treatments best suited to these environments. ",Agriculture,Environment
2798741.txt,"Clouded Skipper (Lerema accius) Classification, identification, range, habitat, food, and life cycle of this species. Includes photos. ",Biology,Biology
2785636.txt,Lifeco An international multidisciplinary research project set up to resolve the influence of hydrographic fronts on the recruitment success of North Sea fish stocks. ,Agriculture,Biology
2846080.txt,"Math Forum: Teacher2Teacher A question and answer service for teachers and parents who have questions about teaching math. T2T offers an archive of answers, pages of public discussions, and a form for submitting questions. ",Math,Math
2883805.txt,Aquatec A third party pump selection software package with the data from a number of major pump companies. It allows the user to simultaneously evaluate pumps for different applications from multiple pump companies. ,Technology,Technology
in_Society_2857633.txt,"Forgery Finder Offering document examination and expert testimony for criminal or civil cases involving handwriting identification, altered documents, collection of standards, and braille. ",Science,Science
in_Society_2857614.txt,"DNA Testing Centre, Inc. Offers home test kits worldwide for paternity determination and other purposes. Includes FAQ and laboratory in Euless, Texas. ",Science,Science
Sciences_2874831.txt,"APA Division 36: Psychology of Religion &amp; Spirituality Division of the American Psychological Association. Officer contact details, past issues of the quarterly newsletter, and mission statement. ",Social,Social
Sciences_2826618.txt,"Gordon Research Conferences - 2007 Program (Atmospheric Chemistry) Atmospheric Chemistry meeting in Big Sky, Montana ",Earth,Chemistry
2880342.txt,"TechOnLine An online electronics university. Short video courses in electronics, online technical library. ",Technology,Technology
2789413.txt,"Camera Corner A full range of telescopes and binoculars from Meade, Bushnell, Celestron, Nikon, Steiner binoculars, Leica and Pentax. Located in North Carolina. ",Astronomy,Astronomy
in_Society_2857595.txt,"Pacific IDentifications Inc. Established in 1989 for bioarchaeological, zoological and ecological consultancy. Offer ancient DNA, prehistoric and zooarchaeological analysis, food habit studies, skeletal identification and reference databases from Victoria, BC, Canada. ",Science,Science
in_Society_2857699.txt,"Goffe Visual Services Offer photographic and video documentation of evidence using sophisticated equipment and techniques, from Albuqerque, New Mexico. ",Science,Technology
2849934.txt,Math Forum: Algebra Problem of the Week View this week's algebra problem or those of previous weeks. ,Math,Math
Sciences_2867014.txt,"Second Language Acquisition Bibliography A list of scholarly writings arranged by subtopic, maintained by Vivian Cook. ",Social,Social
2839154.txt,"Winyah Rivers Foundation Grassroots community organization that aims to protect, preserve, monitor and revitalize the greater Winyah Watershed that empties into Winyah Bay, South Carolina. ",Environment,Environment
2842828.txt,University of Georgia Department of Mathematics ,Math,Math
Sciences_2827565.txt,Texas Severe Storms Association Non-profit organization founded to bring together amateur and professional severe weather scientists in an attempt to better understand dangerous storms through the collection and diffusion of knowledge. ,Earth,Earth
and_Supplies_2842277.txt,Design Filtration Manufacturer of standard and custom HEPA filtered clean air systems. ,Instruments,Environment
2826116.txt,Bulletin of the Catalysis Society of India Publishes original research papers and relevant review articles in the field of catalysis. ,Chemistry,Chemistry
2809419.txt,"Rhus lanceolata: Prairie Sumac Photograph and description of this large shrub or small tree, with information on its habitat and range. ",Biology,Biology
2850619.txt,Mathematics Archives - Other Software Sites The Mathematics Archives' collection of links to other software sites. ,Math,Math
Sciences_2827998.txt,Solar System Collisions Online calculator for effects of asteroid impact. ,Earth,Astronomy
